Eagle  17
Moose  86
Lion  70
Kangaroo  34
Moose  54
Micky  67
Kangaroo  36
Tiger  28
Peacock  38
Dragon  36
Micky  33
Moose  83
Micky  25
Tiger  65
Moose  39
Husky  78
Husky  83
Eagle  12
Peacock  36
Panda  46
Panda  17
Kangaroo  80
Panda  23
Panda  70
Panda  91
Tiger  62
Panda  96
Kangaroo  89
Moose  31
Lion  99
Dragon  12
Peacock  77
Husky  46
Panda  24
Tiger  98
Dragon  34
Panda  34
Tiger  14
Moose  36
Panda  86
Tiger  51
Tiger  96
Lion  28
Husky  52
Moose  30
Tiger  100
Dragon  53
Micky  100
Husky  25
Husky  90
Husky  58
Husky  65
Lion  86
Husky  15
Kangaroo  99
Moose  69
Dragon  34
Kangaroo  32
Dragon  18
Dragon  51
Kangaroo  100
Eagle  74
Kangaroo  69
Husky  21
Kangaroo  100
Micky  53
Dragon  69
Peacock  34
Micky  89
Lion  60
Kangaroo  64
Tiger  41
Micky  60
Dragon  57
Kangaroo  18
Moose  86
Dragon  77
Lion  95
Dragon  39
Moose  85
Moose  90
Micky  35
Dragon  60
Eagle  30
Micky  62
Peacock  87
Panda  35
Peacock  29
Kangaroo  11
Kangaroo  42
Peacock  87
Eagle  73
Eagle  20
Kangaroo  58
Micky  32
Panda  57
Dragon  26
Eagle  37
Kangaroo  11
Lion  27
Husky  57
Micky  71
Tiger  12
Dragon  97
Kangaroo  31
Dragon  74
Panda  37
Peacock  61
Micky  46
Micky  67
Micky  45
Tiger  24
Moose  72
Micky  35
Eagle  52
Eagle  64
Lion  28
Dragon  59
Husky  62
Peacock  31
Peacock  37
Panda  47
Eagle  62
Peacock  95
Peacock  33
Husky  43
Peacock  52
Husky  25
Husky  42
Eagle  54
Peacock  54
Lion  71
Kangaroo  65
Eagle  96
Panda  33
Moose  70
Panda  81
Moose  28
Husky  68
Panda  99
Dragon  66
Micky  60
Tiger  76
Tiger  63
Peacock  80
Micky  80
Dragon  76
Dragon  16
Eagle  65
Dragon  11
Tiger  72
Kangaroo  98
Dragon  20
Dragon  39
Peacock  15
Kangaroo  56
Dragon  28
Husky  83
Kangaroo  44
Moose  76
Moose  53
Tiger  62
Kangaroo  16
Husky  88
Tiger  29
Panda  53
Moose  53
Dragon  54
Eagle  43
Eagle  28
Peacock  87
Peacock  41
Kangaroo  84
Peacock  48
Moose  16
Tiger  79
Dragon  85
Dragon  74
Kangaroo  100
Kangaroo  50
Micky  87
Dragon  94
Dragon  21
Panda  14
Dragon  87
Husky  50
Lion  32
Tiger  96
Tiger  83
Eagle  49
Panda  63
Husky  92
Eagle  99
Moose  30
Husky  27
Moose  29
Lion  47
Moose  16
Peacock  28
Kangaroo  34
Dragon  36
Moose  61
Lion  58
Tiger  92
Kangaroo  81
